content;score;thumbsUpCount;at;appVersion;text_length;word_count
setelah diupdate ke versi terbaru kok malah jadi lemot ya? indikator hijaunya juga lama. sebelum diupdate malah lebih lancar daripada setelah update. bukannya harusnya setelah update malah lebih bagus ya, tapi ini lebih bagus ke versi yg lama. mohon perbaikannya ya BCA team. soalnya udah nyaman banget pake apk ini. aku kasih bintang 3 dulu. kalau ada perbaikan aku kasih bintang 5.;3;0;2025-12-10 08:16:38;4.7.6;383;62
sy mbca lovers, tapi skrg makin lemot indikatornya merah mulu, lemotttt, mau transaksi qris/transfer jd lamaa, jadi bikin kesal. ga nyaman. abis di jebol ya? upgrade antivirus.? enakan M-banking bank sebelah cpet. kalau sdh normal sy rubah bintang nya ke lima 5;1;0;2025-12-10 08:05:43;4.7.6;261;42
nice;5;0;2025-12-10 07:10:37;4.6.9;4;1
tolong dong kenapa saya pas buka rekening baru selalu gagal ada tulisan transaksi gagal terus menerus, knp yh ka.;2;0;2025-12-10 06:08:22;4.7.6;113;19
mbanking saya saat transaksi cek selesai muncul notifikasi kecil sehingga angka pada saldo tdk muncul semua jadi harusdi geser baru kebaca semua dan ketika di geser angka no rek terputus juga;5;0;2025-12-10 02:49:52;4.7.6;191;31
aplikasi ga jelas jir;1;0;2025-12-10 00:24:34;4.7.6;21;4
vermuk nya ribet apalagi klo kamera jlk.. adub susah bgt IT nya parah. klh sama vermuk2 ojol lah.;1;0;2025-12-09 23:55:47;4.7.6;97;18
Ribet banget astaga verifikasi wajah gagal terus dengan alasan koneksi internet buruk padahal untuk buka aplikasi lain masih bisa, tampilan aplikasi nya juga jadul banget ribet dan menyusahkan tolong dibenahi biar mudah digunakan seperti Livin' By Mandiri, gak enak banget perusahaan mutasi rekening karyawan ke BCA dan ternyata tidak semudah Livin'By Mandiri!!;1;0;2025-12-09 23:43:08;4.7.6;361;52
very good;5;0;2025-12-09 23:26:57;4.7.5;9;2
sudah hampir sebulan transaksi Qr gagal saldo dipotong tidak kembali..hati hati jika transaksi menggunakan BCA mobile.saldo hilang kembalinya lama sekali,lebih baik pakai mbanking yg lain,jika ada kegagalan transaksi tidak akan selama BCA mobile.;1;0;2025-12-09 22:57:14;4.7.6;246;33
Sangat berguna;5;0;2025-12-09 22:04:48;4.7.6;14;2
bca mobile skrg ini performa nya menurun, sering sekali error , saat transaksi banyak di situ dia mengulah , rasa2 nya mau tutup aja rekening BCA ini;1;0;2025-12-09 20:50:31;4.7.6;149;27
semua bisa terjangkau;5;0;2025-12-09 19:42:20;;21;3
mudah,simple,cepat;5;0;2025-12-09 18:43:44;4.7.6;18;1
sangat bagus;5;0;2025-12-09 18:35:22;4.7.6;12;2
Mau buat rekening online aja lama bangett nunggu video call dengan customer service, di arahkan ulang registrasi lagi, ulang registrasi lagi, sampai pulsa habis;1;0;2025-12-09 18:14:48;4.7.6;160;24
supaya lebih ditingkatkan lagi;5;0;2025-12-09 17:49:33;4.7.6;30;4
sejauh ini,masih ok;5;0;2025-12-09 16:46:41;4.7.6;19;3
sering error;1;0;2025-12-09 16:23:56;4.7.6;12;2
semenjak di upgrade malah eror trus selalu restart ke awal buat login lgi setiap mau buka inbox;1;0;2025-12-09 16:21:34;4.7.6;95;17
recomend;5;0;2025-12-09 15:00:52;4.7.6;8;1
kenapa vermuk gak bisa2 udh tempat nya terang tetap aja gak bisa;1;0;2025-12-09 14:20:52;4.7.6;64;12
tetep n tambah PD;5;0;2025-12-09 14:08:28;4.7.6;17;4
Sangat membantu sekali praktis dan nyaman;5;0;2025-12-09 13:37:58;;41;6
updet terakhir apk jadi lemot, tolong di perbaiki..;1;0;2025-12-09 13:17:18;4.7.6;51;8
bagus;5;0;2025-12-09 12:20:29;4.7.6;5;1
akhir2 ini BCA mobile sering tidak ada jaringan,koneksi ke lampu hijau sering lambat tak muncul ,tolong di perbaiki lebih maximal lagi biar pengguna tetap nyaman😑;3;0;2025-12-09 12:06:03;4.7.6;162;25
Dari bulan kemarin BCA selalu bermasalah ketika akan transaksi. Malu kalo mau transaksi pakai qris di tempat umum. Mau transfer antar rek juga susah. Aplikasi terbaru, kuota ada, tapi mau transaksi susah. Loading terus. Terima kasih sudah feedback ulasan saya. Jaringan di HP saya bagus, kuota banyak. Aplikasi lain berjalan lancar. Aplikasi mbca hanya terkendala ketika akan melakukan transaksi (VA, QRIS dan transfer). Untuk cek mutasi bisa.;1;0;2025-12-09 11:59:39;4.7.6;443;67
halo nomor saya mati bisa di ganti ya;4;0;2025-12-09 11:03:49;;37;8
terima kasih akan feedback nya perihal qris , untuk yang kedua : tolong di vertion hp saya (TECNO POVA 5 ada fitur NFC nya) disertai upgread topup saldo kartu flash di app BCA Mobile, kebetulan untuk di app vertion hp saya todak ada option topup nya hanya ada rincian saja,;4;10;2025-12-09 10:03:55;4.7.6;273;50
hallo, admin apakah bisa membayar PGN? saya tidak menemukan menu payment nya🙏🏼;4;0;2025-12-09 09:14:44;4.7.6;78;12
ini kenapa pindah ke hp baru , saat mau verifikasi gagal trus , data sudah dipastikan benar . verifikasi wajah gagal trus;3;0;2025-12-09 08:41:43;4.7.6;121;22
Aplikasi dan fitur y udah bagus tp sayang setiap ada transaksi uang masuk selalu ada potongan yg lumayan dan tanpa notifikasi y;5;0;2025-12-09 08:40:45;4.6.1;127;22
mode Qris nya sangat lemot sekali sukit di buka;1;0;2025-12-09 08:40:03;4.7.6;47;9
mantap bca mudah cara transaksinya untuk driver gojek Indonesia;5;0;2025-12-09 08:22:34;;63;9
Terimakasih Atas Konfirmasi dan Vertipikasinya;5;0;2025-12-09 08:10:55;;46;5
kenapa hasil transaksi saya suda dari jam 10 blom masuk juga ya,,;5;0;2025-12-09 07:23:09;4.7.6;65;12
Terimakasih BCA, aplikasi ini sangat membantu transaksi sy sehari2 🙏;5;0;2025-12-09 06:36:17;4.7.6;68;10
"Lemot... Merahnya ndak ganti"" 😠";1;0;2025-12-09 03:42:08;4.7.6;31;5
👍;5;0;2025-12-09 02:49:42;4.7.6;1;1
aplikasi semakin kesini semakin busuk buat qris aja susah;1;0;2025-12-09 01:04:09;4.3.0;57;9
Maaf BCA sebelum diupdate aplikasi aman aja. Lancar. Tapi setelah diupdate perfomanya malah makin lemot.;2;0;2025-12-08 23:58:47;4.7.6;104;15
ok;5;0;2025-12-08 23:34:31;;2;1
oke oke saja,thanks;5;0;2025-12-08 23:31:52;4.7.6;19;3
tukar poin nya hoax,memasukan no.kartu sudah benar tapi masih saja sistemnya tertulis salah dan lewat m banking gebyar bca juga jaringan selalu terputus alias tidak bisa di buka,padahal wifi sinyal full SPAM;1;0;2025-12-08 23:29:15;;207;32
better;3;0;2025-12-08 23:24:46;4.7.6;6;1
kapan update lagi dari kemarin saya merah terus gak bisa menggunakannya ,udah di restart udah di hapus dan download lagi tetap merah apakah udah 2 hari ini gangguan;1;0;2025-12-08 22:36:18;4.7.6;164;28
super bagus dan mudah;5;0;2025-12-08 22:26:18;4.7.6;21;4
jadul, apk lambat, sering error;1;0;2025-12-08 22:18:27;4.7.6;31;5
Sangat bagus;5;0;2025-12-08 22:07:23;;12;2
lemot benerrrr. udah loginnya error mulu, indikatornya dari merah ke hijau suka lama. cape nungguinnya. jangan salahin internet pls aku pake apk sebelah lancar lancar aja;4;0;2025-12-08 21:37:12;4.7.6;170;26
indikator warna yg mengganggu sinyal ga cocok dikit gabisa dibuat apa² apknya;2;0;2025-12-08 21:28:36;;77;12
update sekrang kok agak lemot ya indikator matot padah jarungan kita stabil tolong di update lagi ini ?;2;0;2025-12-08 20:04:44;;103;18
tidak bisa dibuka selalu kluar sndri terus;1;0;2025-12-08 20:04:08;4.7.6;42;7
bagus;5;0;2025-12-08 19:25:28;4.7.6;5;1
top bca;5;0;2025-12-08 19:00:21;4.7.6;7;2
mantap;5;0;2025-12-08 18:53:36;4.7.6;6;1
beli kuota saldo berkurang tapi kuota kok gk masuk sering bngt kyk gini;1;0;2025-12-08 18:51:11;4.7.6;71;13
di update malah gak bisa dibuka ini gimana sih..malah makin parah.;1;0;2025-12-08 18:35:20;4.7.6;66;11
mantap;5;0;2025-12-08 18:33:16;4.7.6;6;1
BCA LEMOTTT NAJISSS... udah lemot sering gangguan payahhh;1;0;2025-12-08 18:15:15;4.7.5;57;8
Update nya kok maksa. Kalau ga di update, mbanking ga bisa dipakai. Payah.;2;0;2025-12-08 17:49:49;;74;13
Mohon untuk ditingkatkan kembali aplikasi BCA mobile termasuk fitur-fitur dan performanya;5;0;2025-12-08 17:35:33;4.7.6;89;11
di update registrasi ke ATM malah ga bisa makin repot aj nih bca;3;0;2025-12-08 17:16:30;;64;13
bangke bca tidak ada fast menunya buang2 waktu gk kaya brimo isthebest pake..;1;0;2025-12-08 16:30:42;4.7.6;77;13
QRIS BCA lelet, frezzing mohon diperbaiki.;1;0;2025-12-08 15:56:56;4.7.6;42;6
Oke;5;0;2025-12-08 15:11:17;4.6.9;3;1
Aku kira banking BCA lemot karna inbox aku banyak, ternyata sama semua keluh kesah nya, di perbarui bukannya tambah bagus performa nya, tambah jelek ternyata;1;0;2025-12-08 14:54:35;4.7.6;157;25
aplikasi lelet;5;0;2025-12-08 14:25:30;4.7.6;14;2
Aplikasi Rusak, tiap mau login minta verifikasi ulang terus. Ribet kalo lagi butuh transaksi yang cepat;1;0;2025-12-08 13:06:19;4.3.0;103;16
makin di update kenapa makin lemot yah pas di buka mbankingnya, dan sinyalnya merah lama bgt buat ke ijo, klo lg antri bayar pake qris malu bgt sm yg belakang, kesannya hp gue yg lemot uuhhh;3;0;2025-12-08 12:10:29;4.7.5;190;36
jaringan ga pernah stabil;3;0;2025-12-08 12:09:50;4.7.6;25;4
memuaskan.;5;0;2025-12-08 12:08:44;4.7.6;10;1
mau bayar qris sering keluar bug..tolong di perbaiki .. kami mohon maaf atas ketidak nyamanan nya ...hahahah sampai kapan.....;1;0;2025-12-08 11:55:45;4.7.6;126;19
kenapa setelah update jadi lemot ya;3;0;2025-12-08 11:40:49;4.7.6;35;6
pertama bikin bca,mau registrasi mbanking terkendala denga biometrik wajah,sudah disesuaikan arahan full wajah sudah ditempat terang 2 jam lebih masih saja tidak terverifikasi. apakah harus dengan i phone apa android yang mahal. wajah sudah jelas ,kalau pun harus sama dengan di ktp..namanya bertambah umur pasti juga tidak sama dengan di ktp. terkecuali yang mendaftar beda orang.;3;0;2025-12-08 11:36:23;;381;56
Banyak manfaatnya;5;0;2025-12-08 10:20:56;4.6.7;17;2
the best;5;0;2025-12-08 09:55:40;;8;2
aplikasi yg sangat brmanfaat bgi masrakat;5;0;2025-12-08 09:54:57;4.6.4;41;6
lagi troible , cepat bisa dong;5;0;2025-12-08 09:49:42;4.7.6;30;6
👍;5;0;2025-12-08 08:34:06;;1;1
sangat membantu ,,;5;0;2025-12-08 08:10:20;;18;3
udah download 5 kali buat update tapi tetep gabisa digunain yg keluar tulisan suruh update mulu padahal lagi urgent;1;0;2025-12-08 08:06:17;4.6.4;115;19
bca lama lama ga jelas.. indikatornya merah biru terus hijau cuman sebentar menguji kesabaran;1;0;2025-12-08 07:51:00;4.7.6;93;14
fontnya jelekk😣 tolong font ngikut sistem aja dong;1;0;2025-12-08 07:50:54;;50;8
Sangat mudah digunakan;5;0;2025-12-08 07:38:42;4.7.6;22;3
mudah dan cepat;5;0;2025-12-08 06:29:09;4.2.5;15;3
versi 4.7.6 jadi lebih lemot, HP baru aja di restart masih juga lama nunggu dari merah biru palagi hijaunya, tolong bagusin lah masak level bca kayak gini;2;0;2025-12-08 05:41:40;4.7.6;154;27
kok transfer antar bank sering gagal yaa ... gagal koneksi Mulu .. sinyal ada dana masih banyak;1;0;2025-12-08 04:26:35;;95;17
berguna;5;0;2025-12-08 03:28:11;4.7.6;7;1
saldo nya 0;1;0;2025-12-08 01:31:24;;11;3
bca makin kesini makin lemot ya bukan nya makin bagus;1;0;2025-12-08 00:56:48;4.7.6;53;10
ini kenapa ya m-BCA tiba tiba logout, disuruh verifikasi ulang,.. sudah berhasil malah disuruh isi otp, sudah berkali-kali permintaan otp dikirim, tapi tidak pernah ada masuk bahkan sampai pulsa habis. kesel sumpah;1;1;2025-12-08 00:54:40;4.7.6;214;32
best;5;0;2025-12-08 00:15:40;;4;1
aplikasi ta1 susah bgt klo pas harus verifikasi ulang, aplgi klo hrus ada sms yg gk bisa2 ters;1;0;2025-12-08 00:11:15;;94;18
makin update makin lemot;1;0;2025-12-07 23:56:23;4.5.5;24;4
good;5;0;2025-12-07 23:12:26;4.7.6;4;1
terlalu banyak potongan yang tidak ada di mutasi selain dari potongan bulanan;3;0;2025-12-07 22:10:21;;77;12
di update jadi lemot dan eror;1;0;2025-12-07 21:45:31;4.7.6;29;6
good;5;0;2025-12-07 21:19:11;4.7.6;4;1
MUTASI DI KASIH DETAIL JAM KAYAK BANK LAIN;1;0;2025-12-07 21:16:45;4.7.6;42;8
lampu merah nya kelamaan.jadi ga nyaman kl lagi pas antri bayar pake Qr. parah lah..padahal sebekum nya nyaman bgt oake bank ini.;1;0;2025-12-07 20:48:28;4.7.6;129;22
kok malah jadi lemot ya mbanking ini setelah saya update;2;0;2025-12-07 20:19:37;4.7.6;56;10
baguus bangeet;5;0;2025-12-07 19:50:04;4.7.6;14;2
saya sangat kesusahan untuk top di bca Mobile entah ini bug atau apa saya kurang mengerti sudah 2 bulan seperti ini tidak ada konfirmasi ada update atau tidak, mohon developer benahi bug tersebut;3;1;2025-12-07 19:02:09;4.7.6;195;33
wah aplikasi mulai kacau nih sejak kemarin loading terus gak jelas. gak bisa buat transaksi;3;0;2025-12-07 18:39:19;;91;15
Diupdate tambah abooott alias lemot paraaahh;1;0;2025-12-07 18:32:37;4.7.6;44;6
waduh ini update terbaru beneran jd super lemot 🫵🥲 sinyal merah lama tidak seperti biasanya , gawat .;1;0;2025-12-07 18:27:21;4.7.6;101;18
mantap Dan gercep terimakasih banyak BCA mobile;5;0;2025-12-07 18:10:46;4.7.6;47;7
buruk banget,,, saya sudah ganti hp, dan ga bisa masuk , karena verivikasi gagal teruuuuus, mohon perbaikannyaaaaaa... buruuuuk sekali;1;0;2025-12-07 18:00:27;4.7.6;134;19
susah kalo mo transaksi segala macem nya kudu nunggu warna hijau sedangakan kadang ga hijau hijau tuh lampu nyusahin;1;0;2025-12-07 15:37:19;;116;19
aplikasi M banking paling buruk yang pernah saya pakai, kalo bukan karena kerja yang mengharuskan memakai bank BCA ini saya ga akan mau, lampu indikator selalu merah, sulit sekali untuk transaksi instan seperti contohnya, qris dll;1;0;2025-12-07 15:20:40;;230;36
ok;5;0;2025-12-07 15:17:00;4.7.6;2;1
jangan sering2 di uprade mulu dong saran nya, bikin memori penuh. hampir setiap bulan atau beberapa bulan sekali update mulu. saran saya sih;3;0;2025-12-07 14:13:35;4.6.4;140;23
BCA TOLONG diperbaiki sistem login jika salah id login m-banking jngn dipersulit nasabahnya harus ke ATM/Bank Bca atau harus telfon ke 1500888 cukup dengan kode OTP saja. hari minggu bank tutup , ATM emang buka tpi ujung-ujungnya di suruh telvon ke 1500888, kalau telvon banyak makan pulsa. Itu saja Terimakasih.;2;1;2025-12-07 13:57:43;4.7.0;312;50
login ganti hp harus verifikasi muka gagal terus;3;0;2025-12-07 13:37:57;4.7.6;48;8
kok sekarang lelet? mengecewakan kaya milik negara aja;2;0;2025-12-07 13:12:32;4.7.6;54;8
ok;5;0;2025-12-07 12:37:37;4.7.6;2;1
baik;5;0;2025-12-07 12:28:59;;4;1
bagus sangat;4;0;2025-12-07 12:06:09;4.7.6;12;2
pelayanan bagus,tp harus diapdet terus;4;0;2025-12-07 11:01:55;4.6.5;38;5
semakin lama banyak potongan admin, atau kg boleh saldo kosong atau gmn.;5;0;2025-12-07 10:52:53;4.7.6;72;12
Kenapa ya saya tidak pernah terima notifikasi dr bca mobile, saat terima transfer atau iklan2 yang lain. apa memang tidak ada ? jd saya tidak tau jika ada yg transfer, kecuali yg bersangkutan mengirim bukti transfer, why? tolong jawab yaa.;4;0;2025-12-07 10:33:44;4.7.6;239;40
Bagus;5;0;2025-12-07 10:28:43;;5;1
ini kenapa kaga bisa dibuka;1;0;2025-12-07 09:14:56;2.8.9;27;5
Bca beliin tempat sampah dong, masa tiap outlet yg saya sambangi ga pernah nemuin tempat sampah utk bekas struk transaksi;3;0;2025-12-07 09:01:22;;121;20
sangat bgus;5;0;2025-12-07 08:41:53;4.7.6;11;2
ok👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻;5;0;2025-12-07 08:40:08;4.7.6;14;1
saya kira hp saya rusak. tp di lihat dari ulasan ya begitu.. update terbaru malah lemot dan setelahnya aplikasi tidak bisa di gunakan. cari solusi ga dapat2 eh disini solusinya.. update terbaru malah error dan tidak bisa di gunakan.. kecewa sih;1;3;2025-12-07 08:35:09;4.7.6;244;41
ping selalu merah tdk bisa di buka;1;0;2025-12-07 07:46:09;4.7.6;34;7
is the best;5;0;2025-12-07 07:35:29;4.7.6;11;3
Aplikasi SAMPAH !!!!!! Setelah diupdate bukannya menjadi lebih baik malah nyusahin penggunanya (tidak bisa dibuka). KECEWA !!!!;1;0;2025-12-07 07:26:47;4.7.6;127;17
bagus;5;0;2025-12-07 07:14:09;4.6.5;5;1
mantuul;5;0;2025-12-07 06:51:00;4.7.6;7;1
bingung;5;0;2025-12-07 06:42:04;;7;1
